Metric,Test,Statistic,P-value
faithfulness,ANOVA,25.537288135593197,1.2059032200915031e-08
faithfulness,Kruskal-Wallis,27.91840699622955,8.661536682454244e-07
answer_correctness,ANOVA,2.184345523627546,0.12188432925389167
answer_correctness,Kruskal-Wallis,4.595638460469639,0.10047772375461916
context_recall,ANOVA,12.958974358974354,2.2958828341597103e-05
context_recall,Kruskal-Wallis,18.441833137485308,9.89479534554371e-05
context_precision,ANOVA,32.94244604316551,3.1026040306430464e-10
context_precision,Kruskal-Wallis,31.63292547274749,1.3520648123285004e-07
answer_relevancy,ANOVA,1.2775894577655849,0.28656732949756714
answer_relevancy,Kruskal-Wallis,1.326573358536716,0.5151553984513761
ROUGE-1,ANOVA,1.8471530834355403,0.16700011884822735
ROUGE-1,Kruskal-Wallis,5.207495642068593,0.07399573511393673
ROUGE-2,ANOVA,1.959974468617058,0.15024041114307857
ROUGE-2,Kruskal-Wallis,4.275902038193185,0.11789616269359567
ROUGE-L,ANOVA,1.7455528631780453,0.18374899729387492
ROUGE-L,Kruskal-Wallis,4.929172988153243,0.08504400130027144
BLEU,ANOVA,2.2758949101950834,0.11196282193410158
BLEU,Kruskal-Wallis,2.996098412056233,0.22356586596775896
